# Model Task Tier S_at_SLO
ministral-8b T4:FuncRoute batch 96.8
ministral-8b T5:Code interactive 0.0
ministral-8b T5:Code standard 0.0
ministral-8b T5:Code batch 7.0
llama-3.1-8b T1:Intent interactive 0.0
llama-3.1-8b T1:Intent standard 26.4
llama-3.1-8b T1:Intent batch 95.8
llama-3.1-8b T2:QA interactive 0.0
llama-3.1-8b T2:QA standard 0.0
llama-3.1-8b T2:QA batch 4.9
llama-3.1-8b T3:Tools interactive 0.0
llama-3.1-8b T3:Tools standard 0.0
llama-3.1-8b T3:Tools batch 97.5
llama-3.1-8b T4:FuncRoute interactive 0.0
llama-3.1-8b T4:FuncRoute standard 0.0
llama-3.1-8b T4:FuncRoute batch 97.8
llama-3.1-8b T5:Code interactive 0.0
llama-3.1-8b T5:Code standard 0.0
llama-3.1-8b T5:Code batch 31.5
gemma-2-9b T1:Intent interactive 0.0
gemma-2-9b T1:Intent standard 0.0
gemma-2-9b T1:Intent batch 98.4
gemma-2-9b T2:QA interactive 0.0
gemma-2-9b T2:QA standard 0.0
gemma-2-9b T2:QA batch 0.1
gemma-2-9b T3:Tools interactive 0.0
gemma-2-9b T3:Tools standard 0.0
gemma-2-9b T3:Tools batch 92.5
gemma-2-9b T4:FuncRoute interactive 0.0
gemma-2-9b T4:FuncRoute standard 0.0
gemma-2-9b T4:FuncRoute batch 94.2
gemma-2-9b T5:Code interactive 0.0
gemma-2-9b T5:Code standard 0.0
gemma-2-9b T5:Code batch 1.2
gemma-3-12b T1:Intent interactive 0.0
gemma-3-12b T1:Intent standard 0.0
gemma-3-12b T1:Intent batch 95.0
gemma-3-12b T2:QA interactive 0.0
gemma-3-12b T2:QA standard 0.0
gemma-3-12b T2:QA batch 0.0
gemma-3-12b T3:Tools interactive 0.0
gemma-3-12b T3:Tools standard 0.0
gemma-3-12b T3:Tools batch 77.2
gemma-3-12b T4:FuncRoute interactive 0.0
gemma-3-12b T4:FuncRoute standard 0.0
gemma-3-12b T4:FuncRoute batch 56.7
gemma-3-12b T5:Code interactive 0.0
gemma-3-12b T5:Code standard 0.0
gemma-3-12b T5:Code batch 0.8
