# Accuracy_rank S_at_SLO_rank Accuracy S_at_SLO Size_B Size_Range Model
12.0 13.0 66.4 27.6 7.0 medium falcon-mamba-7b
1.0 10.0 82.2 50.7 9.0 large gemma-2-9b
10.0 12.0 72.4 39.3 12.0 large gemma-3-12b
7.0 11.0 75.8 44.3 20.0 large gpt-oss-20b
3.0 6.0 80.7 57.7 8.0 large llama-3.1-8b
13.0 4.0 63.5 63.5 1.0 small llama-3.2-1b
6.0 1.0 77.0 73.8 3.0 small llama-3.2-3b
2.0 9.0 81.8 51.5 8.0 large ministral-8b
5.0 7.0 78.3 55.3 7.0 medium mistral-7b
11.0 5.0 70.9 58.5 3.8 medium phi-3-mini
9.0 2.0 75.0 71.7 3.0 small qwen2.5-3b
4.0 3.0 80.2 64.6 4.0 medium qwen3-4b
8.0 8.0 75.5 53.8 6.0 medium yi-1.5-6b
