# step  reward  validity
# model=llama-3.2-1b  task=T2  seed=seed_42
# classification=sustained  size_group=small
262  1.9600  0.9800
263  1.9600  0.9800
264  1.9600  0.9800
265  1.9600  0.9800
266  1.9600  0.9800
267  1.9600  0.9800
268  1.9600  0.9800
269  1.9600  0.9800
270  1.9600  0.9800
271  1.9600  0.9800
272  1.9600  0.9800
273  1.9200  0.9600
274  1.9200  0.9600
275  1.9200  0.9600
276  1.9200  0.9600
277  1.9200  0.9600
278  1.9200  0.9600
279  1.9200  0.9600
280  1.9200  0.9600
281  1.9200  0.9600
282  1.9200  0.9600
283  1.9200  0.9600
284  1.9200  0.9600
285  1.9200  0.9600
286  1.9200  0.9600
287  1.9200  0.9600
288  1.9200  0.9600
289  1.9200  0.9600
290  1.9200  0.9600
291  1.9200  0.9600
292  1.9200  0.9600
293  1.9200  0.9600
294  1.9200  0.9600
295  1.9200  0.9600
296  1.9200  0.9600
297  1.9200  0.9600
298  1.9200  0.9600
299  1.9200  0.9600
300  1.8800  0.9400
301  1.9200  0.9600
302  1.9200  0.9600
303  1.9200  0.9600
304  1.9200  0.9600
305  1.9200  0.9600
306  1.9200  0.9600
307  1.9200  0.9600
308  1.9200  0.9600
309  1.9200  0.9600
310  1.9200  0.9600
311  1.9200  0.9600
312  1.9200  0.9600
313  1.9200  0.9600
314  1.9200  0.9600
315  1.9200  0.9600
316  1.9200  0.9600
317  1.9200  0.9600
318  1.8800  0.9400
319  1.8800  0.9400
320  1.8400  0.9200
321  1.8400  0.9200
322  1.8400  0.9200
323  1.8400  0.9200
324  1.8400  0.9200
325  1.8400  0.9200
326  1.8400  0.9200
327  1.8400  0.9200
328  1.8400  0.9200
329  1.8400  0.9200
330  1.8400  0.9200
331  1.8400  0.9200
332  1.8400  0.9200
333  1.8400  0.9200
334  1.8400  0.9200
335  1.8400  0.9200
336  1.8400  0.9200
337  1.8400  0.9200
338  1.8400  0.9200
339  1.8400  0.9200
340  1.8400  0.9200
341  1.8400  0.9200
342  1.8400  0.9200
343  1.8400  0.9200
344  1.8400  0.9200
345  1.8400  0.9200
346  1.8400  0.9200
347  1.8400  0.9200
348  1.8400  0.9200
349  1.8000  0.9000
350  1.8400  0.9200
351  1.8400  0.9200
352  1.8400  0.9200
353  1.8400  0.9200
354  1.8400  0.9200
355  1.8400  0.9200
356  1.8400  0.9200
357  1.8400  0.9200
358  1.8400  0.9200
359  1.8400  0.9200
360  1.8400  0.9200
361  1.8400  0.9200
362  1.8400  0.9200
363  1.8400  0.9200
364  1.8400  0.9200
365  1.8400  0.9200
366  1.8400  0.9200
367  1.8400  0.9200
368  1.8800  0.9400
369  1.8800  0.9400
370  1.9200  0.9600
371  1.9200  0.9600
372  1.9200  0.9600
373  1.9600  0.9800
374  1.9600  0.9800
375  1.9600  0.9800
376  1.9600  0.9800
377  1.9600  0.9800
378  1.9600  0.9800
379  1.9600  0.9800
380  1.9600  0.9800
381  1.9600  0.9800
382  1.9600  0.9800
383  1.9600  0.9800
384  1.9600  0.9800
385  1.9600  0.9800
386  1.9600  0.9800
387  1.9600  0.9800
388  1.9600  0.9800
389  1.9600  0.9800
390  1.9600  0.9800
391  1.9600  0.9800
392  1.9600  0.9800
393  1.9600  0.9800
394  1.9600  0.9800
395  1.9600  0.9800
396  1.9600  0.9800
397  1.9600  0.9800
398  1.9600  0.9800
399  2.0000  1.0000
400  2.0000  1.0000
401  2.0000  1.0000
402  2.0000  1.0000
403  2.0000  1.0000
404  2.0000  1.0000
405  2.0000  1.0000
406  2.0000  1.0000
407  2.0000  1.0000
408  2.0000  1.0000
409  2.0000  1.0000
410  2.0000  1.0000
411  2.0000  1.0000
412  2.0000  1.0000
413  2.0000  1.0000
414  2.0000  1.0000
415  2.0000  1.0000
416  2.0000  1.0000
417  2.0000  1.0000
418  2.0000  1.0000
419  2.0000  1.0000
420  2.0000  1.0000
421  2.0000  1.0000
422  2.0000  1.0000
423  2.0000  1.0000
424  1.9600  0.9800
425  1.9600  0.9800
426  1.9600  0.9800
427  1.9600  0.9800
428  1.9600  0.9800
429  1.9200  0.9600
430  1.9200  0.9600
431  1.9200  0.9600
432  1.9200  0.9600
433  1.9200  0.9600
434  1.9200  0.9600
435  1.9200  0.9600
436  1.9200  0.9600
437  1.9200  0.9600
438  1.9200  0.9600
439  1.9200  0.9600
440  1.9200  0.9600
441  1.9200  0.9600
442  1.9200  0.9600
443  1.9200  0.9600
444  1.9200  0.9600
445  1.9200  0.9600
446  1.9200  0.9600
447  1.9200  0.9600
448  1.9200  0.9600
449  1.9200  0.9600
450  1.9200  0.9600
451  1.9200  0.9600
452  1.9200  0.9600
453  1.9200  0.9600
454  1.9200  0.9600
455  1.9200  0.9600
456  1.9200  0.9600
457  1.9200  0.9600
458  1.9200  0.9600
459  1.9200  0.9600
460  1.9200  0.9600
461  1.9200  0.9600
462  1.9200  0.9600
463  1.9200  0.9600
464  1.9200  0.9600
465  1.9200  0.9600
466  1.9200  0.9600
467  1.9200  0.9600
468  1.9200  0.9600
469  1.9200  0.9600
470  1.9200  0.9600
471  1.9200  0.9600
472  1.9200  0.9600
473  1.9200  0.9600
474  1.9600  0.9800
475  1.9600  0.9800
476  1.9600  0.9800
477  1.9600  0.9800
478  1.9600  0.9800
479  2.0000  1.0000
480  2.0000  1.0000
481  2.0000  1.0000
482  2.0000  1.0000
483  2.0000  1.0000
484  2.0000  1.0000
485  2.0000  1.0000
486  2.0000  1.0000
487  2.0000  1.0000
488  2.0000  1.0000
489  2.0000  1.0000
490  2.0000  1.0000
491  2.0000  1.0000
492  2.0000  1.0000
493  2.0000  1.0000
494  2.0000  1.0000
495  2.0000  1.0000
496  2.0000  1.0000
497  2.0000  1.0000
498  2.0000  1.0000
499  2.0000  1.0000
500  2.0000  1.0000
501  2.0000  1.0000
502  2.0000  1.0000
503  2.0000  1.0000
504  2.0000  1.0000
505  2.0000  1.0000
506  2.0000  1.0000
507  2.0000  1.0000
508  2.0000  1.0000
509  2.0000  1.0000
510  2.0000  1.0000
511  2.0000  1.0000
512  1.9600  0.9800
513  1.9600  0.9800
514  1.9600  0.9800
515  1.9600  0.9800
516  1.9600  0.9800
517  1.9600  0.9800
518  1.9600  0.9800
519  1.9600  0.9800
520  1.9600  0.9800
521  1.9600  0.9800
522  1.9600  0.9800
523  1.9600  0.9800
524  1.9600  0.9800
525  1.9600  0.9800
526  1.9600  0.9800
527  1.9600  0.9800
528  1.9600  0.9800
529  1.9600  0.9800
530  1.9200  0.9600
531  1.9200  0.9600
532  1.9200  0.9600
533  1.9200  0.9600
534  1.9200  0.9600
535  1.8800  0.9400
536  1.8800  0.9400
537  1.8800  0.9400
538  1.8800  0.9400
539  1.8800  0.9400
540  1.8800  0.9400
541  1.8800  0.9400
542  1.8800  0.9400
543  1.8800  0.9400
544  1.8800  0.9400
545  1.8800  0.9400
546  1.8800  0.9400
547  1.8800  0.9400
548  1.8800  0.9400
549  1.8800  0.9400
550  1.8800  0.9400
551  1.8800  0.9400
552  1.8800  0.9400
553  1.8800  0.9400
554  1.8800  0.9400
555  1.8800  0.9400
556  1.8800  0.9400
557  1.8400  0.9200
558  1.8400  0.9200
559  1.8400  0.9200
560  1.8400  0.9200
561  1.8400  0.9200
562  1.8800  0.9400
563  1.8800  0.9400
564  1.8800  0.9400
565  1.8800  0.9400
566  1.8800  0.9400
567  1.8800  0.9400
568  1.8800  0.9400
569  1.8800  0.9400
570  1.8800  0.9400
571  1.8800  0.9400
572  1.8800  0.9400
573  1.8800  0.9400
574  1.8800  0.9400
575  1.8800  0.9400
576  1.8800  0.9400
577  1.8800  0.9400
578  1.8800  0.9400
579  1.8800  0.9400
580  1.9200  0.9600
581  1.9200  0.9600
582  1.9200  0.9600
583  1.9200  0.9600
584  1.9200  0.9600
585  1.9600  0.9800
586  1.9600  0.9800
587  1.9600  0.9800
588  1.9600  0.9800
589  1.9600  0.9800
590  1.9600  0.9800
591  1.9600  0.9800
592  1.9600  0.9800
593  1.9600  0.9800
594  1.9600  0.9800
595  1.9600  0.9800
596  1.9600  0.9800
597  1.9600  0.9800
598  1.9600  0.9800
599  1.9600  0.9800
600  1.9600  0.9800
601  1.9600  0.9800
602  1.9600  0.9800
603  1.9600  0.9800
604  1.9600  0.9800
605  1.9600  0.9800
606  1.9600  0.9800
607  2.0000  1.0000
608  2.0000  1.0000
609  2.0000  1.0000
610  2.0000  1.0000
611  2.0000  1.0000
612  2.0000  1.0000
613  2.0000  1.0000
614  2.0000  1.0000
615  2.0000  1.0000
616  2.0000  1.0000
617  2.0000  1.0000
618  2.0000  1.0000
619  2.0000  1.0000
620  2.0000  1.0000
621  2.0000  1.0000
622  2.0000  1.0000
623  2.0000  1.0000
624  2.0000  1.0000
625  2.0000  1.0000
626  2.0000  1.0000
627  2.0000  1.0000
628  2.0000  1.0000
629  2.0000  1.0000
630  2.0000  1.0000
631  2.0000  1.0000
632  2.0000  1.0000
633  2.0000  1.0000
634  2.0000  1.0000
635  2.0000  1.0000
636  1.9600  0.9800
637  1.9600  0.9800
638  1.9600  0.9800
639  1.9600  0.9800
640  1.9600  0.9800
641  1.9200  0.9600
642  1.9200  0.9600
643  1.9200  0.9600
644  1.9200  0.9600
645  1.9200  0.9600
646  1.9200  0.9600
647  1.9200  0.9600
648  1.9200  0.9600
649  1.9200  0.9600
650  1.9200  0.9600
651  1.9200  0.9600
652  1.9200  0.9600
653  1.9200  0.9600
654  1.9200  0.9600
655  1.9200  0.9600
656  1.9200  0.9600
657  1.9200  0.9600
658  1.9200  0.9600
659  1.9200  0.9600
660  1.9200  0.9600
661  1.9200  0.9600
662  1.9200  0.9600
663  1.9200  0.9600
664  1.9200  0.9600
665  1.9200  0.9600
666  1.9200  0.9600
667  1.9200  0.9600
668  1.9200  0.9600
669  1.9200  0.9600
670  1.9200  0.9600
671  1.9200  0.9600
672  1.9200  0.9600
673  1.9200  0.9600
674  1.9200  0.9600
675  1.9200  0.9600
676  1.9200  0.9600
677  1.9200  0.9600
678  1.9200  0.9600
679  1.9200  0.9600
680  1.9200  0.9600
681  1.9200  0.9600
682  1.9200  0.9600
683  1.9200  0.9600
684  1.9200  0.9600
685  1.9200  0.9600
686  1.9600  0.9800
687  1.9600  0.9800
688  1.9600  0.9800
689  1.9600  0.9800
690  1.9600  0.9800
691  2.0000  1.0000
692  2.0000  1.0000
693  2.0000  1.0000
694  2.0000  1.0000
695  2.0000  1.0000
696  2.0000  1.0000
697  2.0000  1.0000
698  2.0000  1.0000
699  2.0000  1.0000
700  2.0000  1.0000
701  2.0000  1.0000
702  2.0000  1.0000
703  2.0000  1.0000
704  2.0000  1.0000
705  2.0000  1.0000
706  2.0000  1.0000
707  2.0000  1.0000
708  2.0000  1.0000
709  2.0000  1.0000
710  2.0000  1.0000
711  2.0000  1.0000
712  2.0000  1.0000
713  2.0000  1.0000
714  2.0000  1.0000
715  2.0000  1.0000
716  2.0000  1.0000
717  2.0000  1.0000
718  2.0000  1.0000
719  2.0000  1.0000
720  2.0000  1.0000
721  2.0000  1.0000
722  2.0000  1.0000
723  2.0000  1.0000
724  1.9600  0.9800
725  1.9600  0.9800
726  1.9600  0.9800
727  1.9600  0.9800
728  1.9600  0.9800
729  1.9600  0.9800
730  1.9600  0.9800
731  1.9600  0.9800
732  1.9600  0.9800
733  1.9600  0.9800
734  1.9600  0.9800
735  1.9600  0.9800
736  1.9600  0.9800
737  1.9600  0.9800
738  1.9600  0.9800
739  1.9600  0.9800
740  1.9600  0.9800
741  1.9600  0.9800
742  1.9200  0.9600
743  1.9200  0.9600
744  1.9200  0.9600
745  1.9200  0.9600
746  1.9200  0.9600
747  1.9200  0.9600
748  1.9200  0.9600
749  1.9200  0.9600
750  1.9200  0.9600
751  1.9200  0.9600
752  1.9200  0.9600
753  1.9200  0.9600
754  1.9200  0.9600
755  1.9200  0.9600
756  1.9200  0.9600
757  1.9200  0.9600
758  1.9200  0.9600
759  1.9200  0.9600
760  1.9200  0.9600
761  1.9200  0.9600
762  1.9200  0.9600
763  1.9200  0.9600
764  1.9200  0.9600
765  1.9200  0.9600
766  1.9200  0.9600
767  1.9200  0.9600
768  1.9200  0.9600
769  1.9200  0.9600
770  1.9200  0.9600
771  1.9200  0.9600
772  1.9200  0.9600
773  1.9200  0.9600
774  1.9600  0.9800
775  1.9600  0.9800
776  1.9600  0.9800
777  1.9600  0.9800
778  1.9600  0.9800
779  1.9600  0.9800
780  1.9600  0.9800
781  1.9600  0.9800
782  1.9600  0.9800
783  1.9600  0.9800
784  1.9600  0.9800
785  1.9600  0.9800
786  1.9600  0.9800
787  1.9600  0.9800
788  1.9600  0.9800
789  1.9600  0.9800
790  1.9600  0.9800
791  1.9600  0.9800
792  2.0000  1.0000
793  2.0000  1.0000
794  2.0000  1.0000
795  2.0000  1.0000
796  2.0000  1.0000
797  2.0000  1.0000
798  2.0000  1.0000
799  2.0000  1.0000
800  2.0000  1.0000
801  2.0000  1.0000
802  2.0000  1.0000
803  2.0000  1.0000
804  2.0000  1.0000
805  2.0000  1.0000
806  2.0000  1.0000
807  2.0000  1.0000
808  2.0000  1.0000
809  2.0000  1.0000
810  2.0000  1.0000
811  2.0000  1.0000
812  2.0000  1.0000
813  2.0000  1.0000
814  2.0000  1.0000
815  2.0000  1.0000
816  2.0000  1.0000
817  2.0000  1.0000
818  2.0000  1.0000
819  2.0000  1.0000
820  2.0000  1.0000
821  2.0000  1.0000
822  2.0000  1.0000
823  2.0000  1.0000
824  2.0000  1.0000
825  2.0000  1.0000
826  2.0000  1.0000
827  2.0000  1.0000
828  2.0000  1.0000
829  2.0000  1.0000
