# step  reward  validity
# model=gemma-2-9b  task=Mixed  seed=seed_42
# classification=sustained  size_group=large
262  1.1600  0.5800
263  1.1200  0.5600
264  1.1600  0.5800
265  1.1200  0.5600
266  1.1200  0.5600
267  1.1600  0.5800
268  1.2000  0.6000
269  1.2000  0.6000
270  1.2400  0.6200
271  1.2800  0.6400
272  1.2800  0.6400
273  1.2800  0.6400
274  1.2800  0.6400
275  1.3200  0.6600
276  1.3200  0.6600
277  1.3200  0.6600
278  1.3200  0.6600
279  1.3600  0.6800
280  1.4000  0.7000
281  1.4400  0.7200
282  1.4800  0.7400
283  1.5200  0.7600
284  1.5200  0.7600
285  1.5200  0.7600
286  1.5200  0.7600
287  1.5600  0.7800
288  1.5600  0.7800
289  1.5600  0.7800
290  1.6000  0.8000
291  1.6000  0.8000
292  1.6000  0.8000
293  1.5600  0.7800
294  1.5200  0.7600
295  1.5200  0.7600
296  1.4800  0.7400
297  1.5200  0.7600
298  1.5200  0.7600
299  1.5200  0.7600
300  1.5200  0.7600
301  1.5600  0.7800
302  1.6000  0.8000
303  1.6400  0.8200
304  1.6800  0.8400
305  1.6800  0.8400
306  1.6800  0.8400
307  1.7200  0.8600
308  1.7200  0.8600
309  1.7200  0.8600
310  1.6800  0.8400
311  1.6800  0.8400
312  1.6800  0.8400
313  1.7200  0.8600
314  1.6800  0.8400
315  1.7200  0.8600
316  1.7600  0.8800
317  1.7600  0.8800
318  1.7600  0.8800
319  1.7600  0.8800
320  1.7600  0.8800
321  1.7600  0.8800
322  1.7200  0.8600
323  1.7200  0.8600
324  1.6800  0.8400
325  1.6800  0.8400
326  1.6800  0.8400
327  1.6400  0.8200
328  1.6000  0.8000
329  1.5600  0.7800
330  1.5600  0.7800
331  1.5200  0.7600
332  1.4800  0.7400
333  1.4800  0.7400
334  1.4800  0.7400
335  1.4400  0.7200
336  1.4400  0.7200
337  1.4000  0.7000
338  1.4000  0.7000
339  1.3600  0.6800
340  1.3600  0.6800
341  1.3600  0.6800
342  1.3600  0.6800
343  1.4000  0.7000
344  1.4400  0.7200
345  1.4000  0.7000
346  1.4000  0.7000
347  1.4000  0.7000
348  1.4000  0.7000
349  1.4000  0.7000
350  1.4000  0.7000
351  1.3600  0.6800
352  1.3600  0.6800
353  1.3600  0.6800
354  1.3600  0.6800
355  1.3200  0.6600
356  1.2800  0.6400
357  1.2400  0.6200
358  1.2000  0.6000
359  1.2400  0.6200
360  1.2800  0.6400
361  1.2400  0.6200
362  1.2000  0.6000
363  1.2000  0.6000
364  1.2000  0.6000
365  1.1600  0.5800
366  1.1600  0.5800
367  1.1600  0.5800
368  1.1600  0.5800
369  1.1200  0.5600
370  1.1200  0.5600
371  1.1200  0.5600
372  1.1600  0.5800
373  1.1600  0.5800
374  1.2000  0.6000
375  1.2000  0.6000
376  1.2000  0.6000
377  1.2400  0.6200
378  1.2800  0.6400
379  1.3200  0.6600
380  1.3200  0.6600
381  1.3200  0.6600
382  1.3600  0.6800
383  1.3600  0.6800
384  1.3600  0.6800
385  1.4000  0.7000
386  1.3600  0.6800
387  1.3600  0.6800
388  1.3600  0.6800
389  1.3600  0.6800
390  1.3600  0.6800
391  1.3200  0.6600
392  1.2800  0.6400
393  1.2400  0.6200
394  1.2000  0.6000
395  1.2000  0.6000
396  1.2400  0.6200
397  1.2400  0.6200
398  1.2000  0.6000
399  1.2000  0.6000
400  1.2000  0.6000
401  1.2400  0.6200
402  1.2400  0.6200
403  1.2000  0.6000
404  1.2000  0.6000
405  1.2400  0.6200
406  1.2800  0.6400
407  1.3200  0.6600
408  1.3600  0.6800
409  1.3600  0.6800
410  1.3600  0.6800
411  1.4000  0.7000
412  1.4400  0.7200
413  1.4000  0.7000
414  1.4000  0.7000
415  1.4400  0.7200
416  1.4000  0.7000
417  1.3600  0.6800
418  1.3600  0.6800
419  1.4000  0.7000
420  1.4000  0.7000
421  1.4000  0.7000
422  1.4000  0.7000
423  1.4000  0.7000
424  1.4000  0.7000
425  1.4000  0.7000
426  1.3600  0.6800
427  1.3600  0.6800
428  1.3600  0.6800
429  1.3600  0.6800
430  1.3200  0.6600
431  1.3600  0.6800
432  1.3200  0.6600
433  1.3200  0.6600
434  1.3200  0.6600
435  1.3200  0.6600
436  1.3600  0.6800
437  1.4000  0.7000
438  1.4000  0.7000
439  1.4400  0.7200
440  1.4000  0.7000
441  1.4400  0.7200
442  1.4800  0.7400
443  1.5200  0.7600
444  1.5200  0.7600
445  1.5600  0.7800
446  1.5600  0.7800
447  1.5600  0.7800
448  1.5600  0.7800
449  1.5200  0.7600
450  1.5200  0.7600
451  1.4800  0.7400
452  1.4800  0.7400
453  1.5200  0.7600
454  1.4800  0.7400
455  1.4800  0.7400
456  1.4400  0.7200
457  1.4400  0.7200
458  1.4400  0.7200
459  1.4000  0.7000
460  1.4000  0.7000
461  1.4000  0.7000
462  1.3600  0.6800
463  1.3600  0.6800
464  1.4000  0.7000
465  1.4000  0.7000
466  1.4000  0.7000
467  1.4400  0.7200
468  1.4400  0.7200
469  1.4000  0.7000
470  1.4000  0.7000
471  1.4000  0.7000
472  1.4000  0.7000
473  1.4000  0.7000
474  1.4000  0.7000
475  1.4000  0.7000
476  1.4400  0.7200
477  1.4000  0.7000
478  1.4000  0.7000
479  1.4000  0.7000
480  1.4400  0.7200
481  1.4400  0.7200
482  1.4800  0.7400
483  1.4800  0.7400
484  1.4800  0.7400
485  1.4800  0.7400
486  1.4800  0.7400
487  1.4400  0.7200
488  1.4000  0.7000
489  1.4000  0.7000
490  1.4400  0.7200
491  1.4400  0.7200
492  1.4400  0.7200
493  1.4400  0.7200
494  1.4800  0.7400
495  1.4800  0.7400
496  1.4800  0.7400
497  1.4800  0.7400
498  1.5200  0.7600
499  1.5600  0.7800
500  1.5600  0.7800
501  1.6000  0.8000
502  1.6000  0.8000
503  1.6000  0.8000
504  1.6400  0.8200
505  1.6400  0.8200
506  1.6800  0.8400
507  1.6400  0.8200
508  1.6400  0.8200
509  1.6800  0.8400
510  1.6400  0.8200
511  1.6000  0.8000
512  1.6400  0.8200
513  1.6800  0.8400
514  1.6400  0.8200
515  1.6400  0.8200
516  1.6800  0.8400
517  1.6800  0.8400
518  1.6800  0.8400
519  1.6800  0.8400
520  1.6400  0.8200
521  1.6400  0.8200
522  1.6400  0.8200
523  1.6400  0.8200
524  1.6400  0.8200
525  1.6000  0.8000
526  1.6000  0.8000
527  1.6400  0.8200
528  1.6400  0.8200
529  1.6000  0.8000
530  1.6000  0.8000
531  1.6000  0.8000
532  1.6000  0.8000
533  1.6000  0.8000
534  1.6000  0.8000
535  1.6000  0.8000
536  1.5600  0.7800
537  1.6000  0.8000
538  1.6400  0.8200
539  1.6400  0.8200
540  1.6400  0.8200
541  1.6400  0.8200
542  1.6400  0.8200
543  1.6400  0.8200
544  1.6400  0.8200
545  1.6400  0.8200
546  1.6400  0.8200
547  1.6400  0.8200
548  1.6400  0.8200
549  1.6400  0.8200
550  1.6400  0.8200
551  1.6400  0.8200
552  1.6000  0.8000
553  1.6000  0.8000
554  1.6000  0.8000
555  1.6000  0.8000
556  1.6000  0.8000
557  1.6400  0.8200
558  1.6400  0.8200
559  1.6400  0.8200
560  1.6800  0.8400
561  1.7200  0.8600
562  1.7200  0.8600
563  1.7200  0.8600
564  1.7600  0.8800
565  1.7600  0.8800
566  1.7600  0.8800
567  1.7600  0.8800
568  1.7600  0.8800
569  1.7600  0.8800
570  1.8000  0.9000
571  1.7600  0.8800
572  1.7600  0.8800
573  1.7600  0.8800
574  1.7200  0.8600
575  1.7200  0.8600
576  1.7200  0.8600
577  1.7200  0.8600
578  1.7200  0.8600
579  1.7600  0.8800
580  1.7600  0.8800
581  1.7600  0.8800
582  1.7600  0.8800
583  1.7200  0.8600
584  1.7200  0.8600
585  1.6800  0.8400
586  1.7200  0.8600
587  1.7200  0.8600
588  1.6800  0.8400
589  1.6800  0.8400
590  1.6800  0.8400
591  1.6800  0.8400
592  1.6800  0.8400
593  1.6400  0.8200
594  1.6400  0.8200
595  1.6400  0.8200
596  1.6400  0.8200
597  1.6000  0.8000
598  1.6000  0.8000
599  1.6000  0.8000
600  1.6000  0.8000
601  1.6000  0.8000
602  1.6000  0.8000
603  1.6000  0.8000
604  1.6000  0.8000
605  1.6000  0.8000
606  1.6000  0.8000
607  1.6000  0.8000
608  1.6000  0.8000
609  1.6000  0.8000
610  1.6000  0.8000
611  1.6000  0.8000
612  1.6000  0.8000
613  1.6000  0.8000
614  1.6000  0.8000
615  1.5600  0.7800
616  1.5200  0.7600
617  1.5200  0.7600
618  1.5200  0.7600
619  1.5600  0.7800
620  1.5600  0.7800
621  1.6000  0.8000
622  1.5600  0.7800
623  1.5600  0.7800
624  1.6000  0.8000
625  1.6000  0.8000
626  1.6000  0.8000
627  1.6000  0.8000
628  1.6000  0.8000
629  1.6000  0.8000
630  1.6000  0.8000
631  1.6000  0.8000
632  1.6000  0.8000
633  1.6000  0.8000
634  1.6000  0.8000
635  1.6400  0.8200
636  1.6400  0.8200
637  1.6400  0.8200
638  1.6800  0.8400
639  1.6400  0.8200
640  1.6400  0.8200
641  1.6000  0.8000
642  1.6000  0.8000
643  1.6400  0.8200
644  1.6400  0.8200
645  1.6400  0.8200
646  1.6000  0.8000
647  1.6000  0.8000
648  1.6000  0.8000
649  1.5600  0.7800
650  1.5600  0.7800
651  1.5600  0.7800
652  1.5600  0.7800
653  1.5600  0.7800
654  1.5600  0.7800
655  1.5200  0.7600
656  1.5200  0.7600
657  1.5200  0.7600
658  1.4800  0.7400
659  1.4800  0.7400
660  1.4800  0.7400
661  1.4400  0.7200
662  1.4400  0.7200
663  1.4000  0.7000
664  1.4000  0.7000
665  1.4400  0.7200
666  1.4800  0.7400
667  1.4400  0.7200
668  1.4400  0.7200
669  1.4400  0.7200
670  1.4400  0.7200
671  1.4400  0.7200
672  1.4400  0.7200
673  1.4400  0.7200
674  1.4400  0.7200
675  1.4800  0.7400
676  1.4800  0.7400
677  1.4800  0.7400
678  1.4800  0.7400
679  1.4400  0.7200
680  1.4400  0.7200
681  1.4400  0.7200
682  1.4400  0.7200
683  1.4400  0.7200
684  1.4000  0.7000
685  1.4000  0.7000
686  1.4000  0.7000
687  1.3600  0.6800
688  1.3600  0.6800
689  1.4000  0.7000
690  1.4000  0.7000
691  1.4400  0.7200
692  1.4400  0.7200
693  1.4000  0.7000
694  1.4000  0.7000
695  1.4000  0.7000
696  1.4400  0.7200
697  1.4800  0.7400
698  1.4800  0.7400
699  1.4800  0.7400
700  1.4800  0.7400
701  1.4800  0.7400
702  1.5200  0.7600
703  1.4800  0.7400
704  1.4800  0.7400
705  1.4800  0.7400
706  1.4800  0.7400
707  1.4800  0.7400
708  1.5200  0.7600
709  1.5200  0.7600
710  1.5200  0.7600
711  1.5600  0.7800
712  1.5200  0.7600
713  1.5600  0.7800
714  1.5200  0.7600
715  1.5200  0.7600
716  1.5200  0.7600
717  1.5200  0.7600
718  1.4800  0.7400
719  1.4800  0.7400
720  1.4800  0.7400
721  1.4400  0.7200
722  1.4800  0.7400
723  1.4800  0.7400
724  1.4800  0.7400
725  1.4400  0.7200
726  1.4400  0.7200
727  1.4400  0.7200
728  1.4400  0.7200
729  1.4400  0.7200
730  1.4000  0.7000
731  1.3600  0.6800
732  1.3200  0.6600
733  1.3200  0.6600
734  1.3600  0.6800
735  1.3600  0.6800
736  1.3600  0.6800
737  1.3600  0.6800
738  1.3600  0.6800
739  1.3600  0.6800
740  1.3200  0.6600
741  1.3200  0.6600
742  1.3200  0.6600
743  1.3600  0.6800
744  1.3600  0.6800
745  1.3600  0.6800
746  1.3600  0.6800
747  1.3200  0.6600
748  1.3200  0.6600
749  1.3600  0.6800
750  1.3600  0.6800
751  1.3200  0.6600
752  1.2800  0.6400
753  1.2800  0.6400
754  1.2400  0.6200
755  1.2800  0.6400
756  1.2800  0.6400
757  1.2400  0.6200
758  1.2400  0.6200
759  1.2000  0.6000
760  1.2000  0.6000
761  1.2000  0.6000
762  1.2400  0.6200
763  1.2000  0.6000
764  1.2400  0.6200
765  1.2000  0.6000
766  1.1600  0.5800
767  1.2000  0.6000
768  1.2400  0.6200
769  1.2400  0.6200
770  1.2400  0.6200
771  1.2800  0.6400
772  1.2800  0.6400
773  1.2800  0.6400
774  1.2800  0.6400
775  1.3200  0.6600
776  1.3200  0.6600
777  1.3200  0.6600
778  1.3200  0.6600
779  1.3600  0.6800
780  1.4000  0.7000
781  1.4400  0.7200
782  1.4800  0.7400
783  1.5200  0.7600
784  1.5200  0.7600
785  1.5200  0.7600
786  1.5200  0.7600
787  1.5600  0.7800
788  1.5600  0.7800
789  1.5600  0.7800
790  1.6000  0.8000
791  1.6000  0.8000
792  1.6000  0.8000
793  1.5600  0.7800
794  1.5200  0.7600
795  1.5200  0.7600
796  1.4800  0.7400
797  1.5200  0.7600
798  1.5200  0.7600
799  1.5200  0.7600
800  1.5200  0.7600
801  1.5600  0.7800
802  1.6000  0.8000
803  1.6400  0.8200
804  1.6800  0.8400
805  1.6800  0.8400
806  1.6800  0.8400
807  1.7200  0.8600
808  1.7200  0.8600
809  1.7200  0.8600
810  1.6800  0.8400
811  1.6800  0.8400
812  1.6800  0.8400
813  1.7200  0.8600
814  1.6800  0.8400
815  1.7200  0.8600
816  1.7600  0.8800
817  1.7600  0.8800
818  1.7600  0.8800
819  1.7600  0.8800
820  1.7600  0.8800
821  1.7600  0.8800
822  1.7200  0.8600
823  1.7200  0.8600
824  1.6800  0.8400
825  1.6800  0.8400
826  1.6800  0.8400
827  1.6400  0.8200
828  1.6000  0.8000
829  1.5600  0.7800
830  1.5600  0.7800
831  1.5200  0.7600
832  1.4800  0.7400
833  1.4800  0.7400
834  1.4800  0.7400
835  1.4400  0.7200
836  1.4400  0.7200
837  1.4000  0.7000
838  1.4000  0.7000
839  1.3600  0.6800
840  1.3600  0.6800
841  1.3600  0.6800
842  1.3600  0.6800
843  1.4000  0.7000
844  1.4000  0.7000
845  1.3600  0.6800
846  1.3600  0.6800
847  1.3600  0.6800
848  1.3600  0.6800
849  1.3600  0.6800
850  1.3600  0.6800
851  1.3200  0.6600
852  1.3200  0.6600
853  1.3200  0.6600
854  1.3200  0.6600
855  1.2800  0.6400
856  1.2400  0.6200
857  1.2000  0.6000
858  1.1600  0.5800
859  1.2000  0.6000
860  1.2400  0.6200
861  1.2000  0.6000
862  1.1600  0.5800
863  1.1600  0.5800
864  1.1600  0.5800
865  1.1200  0.5600
866  1.1200  0.5600
867  1.1200  0.5600
868  1.1200  0.5600
869  1.1200  0.5600
870  1.1200  0.5600
871  1.1200  0.5600
872  1.1600  0.5800
873  1.1600  0.5800
874  1.2000  0.6000
875  1.2000  0.6000
876  1.2000  0.6000
877  1.2400  0.6200
878  1.2800  0.6400
879  1.3200  0.6600
880  1.3200  0.6600
881  1.3200  0.6600
882  1.3600  0.6800
883  1.3600  0.6800
884  1.3600  0.6800
885  1.4000  0.7000
886  1.3600  0.6800
887  1.4000  0.7000
888  1.4000  0.7000
889  1.4000  0.7000
890  1.4000  0.7000
891  1.3600  0.6800
892  1.3200  0.6600
893  1.2800  0.6400
894  1.2800  0.6400
895  1.2800  0.6400
896  1.3200  0.6600
897  1.3200  0.6600
898  1.2800  0.6400
899  1.2800  0.6400
900  1.2800  0.6400
901  1.3200  0.6600
902  1.3200  0.6600
903  1.2800  0.6400
904  1.2800  0.6400
905  1.3200  0.6600
906  1.3600  0.6800
907  1.4000  0.7000
908  1.4400  0.7200
909  1.4400  0.7200
910  1.4400  0.7200
911  1.4800  0.7400
912  1.5200  0.7600
913  1.4800  0.7400
914  1.4800  0.7400
915  1.5200  0.7600
916  1.4800  0.7400
917  1.4400  0.7200
918  1.4400  0.7200
919  1.4400  0.7200
920  1.4400  0.7200
921  1.4400  0.7200
922  1.4400  0.7200
923  1.4400  0.7200
