# step  reward  validity
# model=llama-3.2-1b  task=Mixed  seed=seed_42
# classification=transient  size_group=small
262  0.7200  0.3600
263  0.7200  0.3600
264  0.7600  0.3800
265  0.7200  0.3600
266  0.7200  0.3600
267  0.7600  0.3800
268  0.8000  0.4000
269  0.8000  0.4000
270  0.8400  0.4200
271  0.8800  0.4400
272  0.8800  0.4400
273  0.8800  0.4400
274  0.8400  0.4200
275  0.8400  0.4200
276  0.8400  0.4200
277  0.8000  0.4000
278  0.8000  0.4000
279  0.8400  0.4200
280  0.8400  0.4200
281  0.8800  0.4400
282  0.9200  0.4600
283  0.9600  0.4800
284  0.9600  0.4800
285  0.9600  0.4800
286  0.9600  0.4800
287  0.9600  0.4800
288  0.9600  0.4800
289  0.9600  0.4800
290  0.9600  0.4800
291  1.0000  0.5000
292  0.9600  0.4800
293  0.9600  0.4800
294  0.9600  0.4800
295  1.0000  0.5000
296  0.9600  0.4800
297  1.0000  0.5000
298  1.0000  0.5000
299  1.0000  0.5000
300  1.0400  0.5200
301  1.0400  0.5200
302  1.0800  0.5400
303  1.1200  0.5600
304  1.1600  0.5800
305  1.1200  0.5600
306  1.1600  0.5800
307  1.2000  0.6000
308  1.2000  0.6000
309  1.2000  0.6000
310  1.1600  0.5800
311  1.1600  0.5800
312  1.2000  0.6000
313  1.2400  0.6200
314  1.2000  0.6000
315  1.2400  0.6200
316  1.2800  0.6400
317  1.2400  0.6200
318  1.2400  0.6200
319  1.2000  0.6000
320  1.2000  0.6000
321  1.1600  0.5800
322  1.1200  0.5600
323  1.0800  0.5400
324  1.0800  0.5400
325  1.1200  0.5600
326  1.1200  0.5600
327  1.1200  0.5600
328  1.0800  0.5400
329  1.0400  0.5200
330  1.0400  0.5200
331  1.0000  0.5000
332  0.9600  0.4800
333  0.9200  0.4600
334  0.9200  0.4600
335  0.8800  0.4400
336  0.8800  0.4400
337  0.8800  0.4400
338  0.8800  0.4400
339  0.8800  0.4400
340  0.9200  0.4600
341  0.9200  0.4600
342  0.9600  0.4800
343  1.0000  0.5000
344  1.0000  0.5000
345  0.9600  0.4800
346  0.9600  0.4800
347  0.9600  0.4800
348  0.9600  0.4800
349  0.9600  0.4800
350  0.9200  0.4600
351  0.9200  0.4600
352  0.8800  0.4400
353  0.8800  0.4400
354  0.8800  0.4400
355  0.8800  0.4400
356  0.8400  0.4200
357  0.8000  0.4000
358  0.8000  0.4000
359  0.8000  0.4000
360  0.8400  0.4200
361  0.8000  0.4000
362  0.7600  0.3800
363  0.7200  0.3600
364  0.7200  0.3600
365  0.6800  0.3400
366  0.6800  0.3400
367  0.6800  0.3400
368  0.6800  0.3400
