# step  reward  validity
# model=qwen3-4b  task=Mixed  seed=seed_42
# classification=sustained  size_group=medium
229  1.6000  0.8000
230  1.6000  0.8000
231  1.5600  0.7800
232  1.5600  0.7800
233  1.6000  0.8000
234  1.6400  0.8200
235  1.6400  0.8200
236  1.6400  0.8200
237  1.6000  0.8000
238  1.6000  0.8000
239  1.6000  0.8000
240  1.5600  0.7800
241  1.5600  0.7800
242  1.5600  0.7800
243  1.6000  0.8000
244  1.6000  0.8000
245  1.6000  0.8000
246  1.6000  0.8000
247  1.5600  0.7800
248  1.5600  0.7800
249  1.6000  0.8000
250  1.6000  0.8000
251  1.5600  0.7800
252  1.5600  0.7800
253  1.5200  0.7600
254  1.4800  0.7400
255  1.5200  0.7600
256  1.5200  0.7600
257  1.5200  0.7600
258  1.5200  0.7600
259  1.5200  0.7600
260  1.5200  0.7600
261  1.5200  0.7600
262  1.5600  0.7800
263  1.5200  0.7600
264  1.5600  0.7800
265  1.5600  0.7800
266  1.5200  0.7600
267  1.5600  0.7800
268  1.6000  0.8000
269  1.6000  0.8000
270  1.6000  0.8000
271  1.6000  0.8000
272  1.6000  0.8000
273  1.6000  0.8000
274  1.6000  0.8000
275  1.6000  0.8000
276  1.6000  0.8000
277  1.6000  0.8000
278  1.6000  0.8000
279  1.6400  0.8200
280  1.6000  0.8000
281  1.6000  0.8000
282  1.6000  0.8000
283  1.6000  0.8000
284  1.6000  0.8000
285  1.6000  0.8000
286  1.6000  0.8000
287  1.6400  0.8200
288  1.6400  0.8200
289  1.6400  0.8200
290  1.6800  0.8400
291  1.6800  0.8400
292  1.6800  0.8400
293  1.6400  0.8200
294  1.6400  0.8200
295  1.6400  0.8200
296  1.6400  0.8200
297  1.6800  0.8400
298  1.6800  0.8400
299  1.6800  0.8400
300  1.6800  0.8400
301  1.7200  0.8600
302  1.7200  0.8600
303  1.7600  0.8800
304  1.8000  0.9000
305  1.8000  0.9000
306  1.7600  0.8800
307  1.7600  0.8800
308  1.7600  0.8800
309  1.7600  0.8800
310  1.7600  0.8800
311  1.7600  0.8800
312  1.7600  0.8800
313  1.8000  0.9000
314  1.7600  0.8800
315  1.7600  0.8800
316  1.8000  0.9000
317  1.8000  0.9000
318  1.8000  0.9000
319  1.8000  0.9000
320  1.8000  0.9000
321  1.8000  0.9000
322  1.7600  0.8800
323  1.7600  0.8800
324  1.7600  0.8800
325  1.7600  0.8800
326  1.7600  0.8800
327  1.7200  0.8600
328  1.6800  0.8400
329  1.6800  0.8400
330  1.7200  0.8600
331  1.7200  0.8600
332  1.6800  0.8400
333  1.6800  0.8400
334  1.6800  0.8400
335  1.6800  0.8400
336  1.6800  0.8400
337  1.6800  0.8400
338  1.6800  0.8400
339  1.6800  0.8400
340  1.6800  0.8400
341  1.6800  0.8400
342  1.6800  0.8400
343  1.7200  0.8600
344  1.7200  0.8600
345  1.6800  0.8400
346  1.6400  0.8200
347  1.6400  0.8200
348  1.6400  0.8200
349  1.6400  0.8200
350  1.6400  0.8200
351  1.6400  0.8200
352  1.6400  0.8200
353  1.6400  0.8200
354  1.6400  0.8200
355  1.6400  0.8200
356  1.6800  0.8400
357  1.6800  0.8400
358  1.6800  0.8400
359  1.6800  0.8400
360  1.6800  0.8400
361  1.6800  0.8400
362  1.6400  0.8200
363  1.6400  0.8200
364  1.6400  0.8200
365  1.6000  0.8000
366  1.6000  0.8000
367  1.6000  0.8000
368  1.6000  0.8000
369  1.6000  0.8000
370  1.6000  0.8000
371  1.6000  0.8000
372  1.6400  0.8200
373  1.6400  0.8200
374  1.6400  0.8200
375  1.6400  0.8200
376  1.6400  0.8200
377  1.6800  0.8400
378  1.7200  0.8600
379  1.7200  0.8600
380  1.7200  0.8600
381  1.7200  0.8600
382  1.7600  0.8800
383  1.7600  0.8800
384  1.7600  0.8800
385  1.7600  0.8800
386  1.7600  0.8800
387  1.7600  0.8800
388  1.7600  0.8800
389  1.7200  0.8600
390  1.7200  0.8600
391  1.6800  0.8400
392  1.6800  0.8400
393  1.6400  0.8200
394  1.6000  0.8000
395  1.6000  0.8000
396  1.6400  0.8200
397  1.6400  0.8200
398  1.6000  0.8000
399  1.6000  0.8000
400  1.6000  0.8000
401  1.6000  0.8000
402  1.6000  0.8000
403  1.5600  0.7800
404  1.5600  0.7800
405  1.5600  0.7800
406  1.5600  0.7800
407  1.5600  0.7800
408  1.5600  0.7800
409  1.5600  0.7800
410  1.5600  0.7800
411  1.5600  0.7800
412  1.6000  0.8000
413  1.5600  0.7800
414  1.5600  0.7800
415  1.6000  0.8000
416  1.6000  0.8000
417  1.5600  0.7800
418  1.5600  0.7800
419  1.5600  0.7800
420  1.5200  0.7600
421  1.5200  0.7600
422  1.5200  0.7600
423  1.5200  0.7600
424  1.5200  0.7600
425  1.5200  0.7600
426  1.5200  0.7600
427  1.5200  0.7600
428  1.5200  0.7600
429  1.5200  0.7600
430  1.4800  0.7400
431  1.5200  0.7600
432  1.5200  0.7600
433  1.5200  0.7600
434  1.5200  0.7600
435  1.5200  0.7600
436  1.5200  0.7600
437  1.5200  0.7600
438  1.5200  0.7600
439  1.5600  0.7800
440  1.5200  0.7600
441  1.5600  0.7800
442  1.5600  0.7800
443  1.6000  0.8000
444  1.6400  0.8200
445  1.6800  0.8400
446  1.6800  0.8400
447  1.6800  0.8400
448  1.7200  0.8600
449  1.6800  0.8400
450  1.6800  0.8400
451  1.6800  0.8400
452  1.6800  0.8400
453  1.7200  0.8600
454  1.7200  0.8600
455  1.7200  0.8600
456  1.6800  0.8400
457  1.6800  0.8400
458  1.6800  0.8400
459  1.6400  0.8200
460  1.6400  0.8200
461  1.6400  0.8200
462  1.6400  0.8200
463  1.6400  0.8200
464  1.6800  0.8400
465  1.6800  0.8400
466  1.6800  0.8400
467  1.7200  0.8600
468  1.7200  0.8600
469  1.6800  0.8400
470  1.7200  0.8600
471  1.7200  0.8600
472  1.7200  0.8600
473  1.7200  0.8600
474  1.7200  0.8600
475  1.7200  0.8600
476  1.7200  0.8600
477  1.7200  0.8600
478  1.7200  0.8600
479  1.7200  0.8600
480  1.7600  0.8800
481  1.7600  0.8800
482  1.7600  0.8800
483  1.7600  0.8800
484  1.7600  0.8800
485  1.7600  0.8800
486  1.7600  0.8800
487  1.7600  0.8800
488  1.7600  0.8800
489  1.7600  0.8800
490  1.8000  0.9000
491  1.8000  0.9000
492  1.8000  0.9000
493  1.8000  0.9000
494  1.8000  0.9000
495  1.8000  0.9000
496  1.8000  0.9000
497  1.8000  0.9000
498  1.8000  0.9000
499  1.8400  0.9200
500  1.8400  0.9200
501  1.8400  0.9200
502  1.8400  0.9200
503  1.8400  0.9200
504  1.8400  0.9200
505  1.8400  0.9200
506  1.8800  0.9400
507  1.8800  0.9400
508  1.8800  0.9400
509  1.9200  0.9600
510  1.8800  0.9400
511  1.8400  0.9200
512  1.8400  0.9200
513  1.8800  0.9400
