# step  reward  validity
# model=gemma-3-12b  task=Mixed  seed=seed_42
# classification=transient  size_group=large
0  0.0000  0.0000
1  1.0000  0.5000
2  1.3333  0.6667
3  1.0000  0.5000
4  1.2000  0.6000
5  1.3333  0.6667
6  1.4286  0.7143
7  1.2500  0.6250
8  1.3333  0.6667
9  1.4000  0.7000
