step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std  gemma_3_12b_mean  gemma_3_12b_std
0  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
10  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.7879  0.1134  1.0000  0.0000  0.9394  0.0429  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
20  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.7778  0.0594  1.0000  0.0000  0.9683  0.0224  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
30  0.9892  0.0152  1.0000  0.0000  1.0000  0.0000  0.7957  0.0548  1.0000  0.0000  0.9677  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
40  0.9919  0.0115  1.0000  0.0000  1.0000  0.0000  0.8374  0.0501  1.0000  0.0000  0.9350  0.0115  0.9919  0.0115  0.9919  0.0115  1.0000  0.0000  0.9837  0.0115  1.0000  0.0000
50  0.9867  0.0094  0.9933  0.0094  1.0000  0.0000  0.8400  0.0490  1.0000  0.0000  0.9400  0.0163  0.9733  0.0094  0.9867  0.0189  1.0000  0.0000  0.9667  0.0094  1.0000  0.0000
60  0.9867  0.0094  0.9933  0.0094  1.0000  0.0000  0.8800  0.0432  1.0000  0.0000  0.9467  0.0249  0.9733  0.0094  0.9867  0.0189  1.0000  0.0000  0.9667  0.0094  1.0000  0.0000
70  0.9867  0.0094  0.9933  0.0094  1.0000  0.0000  0.9133  0.0411  1.0000  0.0000  0.9467  0.0249  0.9733  0.0094  0.9867  0.0189  1.0000  0.0000  0.9667  0.0094  1.0000  0.0000
80  0.9933  0.0094  0.9867  0.0094  1.0000  0.0000  0.9467  0.0340  1.0000  0.0000  0.9467  0.0340  0.9600  0.0163  0.9867  0.0189  1.0000  0.0000  0.9667  0.0094  1.0000  0.0000
90  0.9933  0.0094  0.9667  0.0094  0.9800  0.0000  0.9533  0.0249  0.9933  0.0094  0.9533  0.0411  0.9667  0.0094  0.9867  0.0094  0.9800  0.0000  0.9600  0.0000  0.9800  0.0000
100  0.9867  0.0094  0.9400  0.0163  0.9800  0.0000  0.9667  0.0094  0.9867  0.0189  0.9200  0.0490  0.9733  0.0189  0.9667  0.0094  0.9400  0.0000  0.9600  0.0000  0.9700  0.0100
110  0.9667  0.0094  0.9333  0.0249  0.9800  0.0000  0.9733  0.0094  0.9867  0.0189  0.9067  0.0411  0.9667  0.0094  0.9667  0.0094  0.9400  0.0000  0.9600  0.0000  0.9700  0.0100
120  0.9667  0.0094  0.9333  0.0249  0.9800  0.0000  0.9867  0.0094  0.9867  0.0189  0.9067  0.0411  0.9667  0.0094  0.9667  0.0094  0.9400  0.0000  0.9600  0.0000  0.9700  0.0100
130  0.9667  0.0094  0.9400  0.0163  0.9800  0.0000  0.9867  0.0094  0.9867  0.0189  0.9133  0.0340  0.9733  0.0094  0.9667  0.0094  0.9400  0.0000  0.9600  0.0000  0.9700  0.0100
140  0.9667  0.0094  0.9600  0.0163  1.0000  0.0000  0.9867  0.0094  0.9933  0.0094  0.9400  0.0163  0.9733  0.0094  0.9733  0.0094  0.9600  0.0000  0.9800  0.0000  0.9900  0.0100
150  0.9733  0.0094  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9800  0.0000  0.9867  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
160  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
