step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std  gemma_3_12b_mean  gemma_3_12b_std
0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.3333  0.4714  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0000  0.0000  0.3333  0.4714  0.0000  0.0000
10  0.0000  0.0000  0.0303  0.0429  0.1515  0.0429  0.0000  0.0000  0.5758  0.0429  0.0303  0.0429  0.0000  0.0000  0.1818  0.0742  0.0000  0.0000  0.0606  0.0857  0.0303  0.0429
20  0.0000  0.0000  0.0159  0.0224  0.1270  0.0594  0.0000  0.0000  0.6667  0.0389  0.0159  0.0224  0.0000  0.0000  0.1587  0.0594  0.0000  0.0000  0.0635  0.0594  0.0317  0.0224
30  0.0000  0.0000  0.0108  0.0152  0.1398  0.0402  0.0000  0.0000  0.6129  0.0527  0.0108  0.0152  0.0000  0.0000  0.1290  0.0456  0.0000  0.0000  0.0753  0.0608  0.0430  0.0152
40  0.0000  0.0000  0.0081  0.0115  0.1870  0.0898  0.0000  0.0000  0.6829  0.0398  0.0163  0.0115  0.0000  0.0000  0.1463  0.0797  0.0000  0.0000  0.1138  0.0805  0.0407  0.0115
50  0.0000  0.0000  0.0067  0.0094  0.2333  0.1482  0.0000  0.0000  0.7267  0.0249  0.0200  0.0163  0.0000  0.0000  0.1467  0.1268  0.0000  0.0000  0.1533  0.0984  0.0467  0.0094
60  0.0000  0.0000  0.0000  0.0000  0.3267  0.2317  0.0000  0.0000  0.8000  0.0283  0.0200  0.0163  0.0000  0.0000  0.1800  0.1883  0.0000  0.0000  0.2267  0.1320  0.0667  0.0094
70  0.0000  0.0000  0.0000  0.0000  0.4333  0.3151  0.0000  0.0000  0.8467  0.0249  0.0200  0.0163  0.0000  0.0000  0.2333  0.2625  0.0000  0.0000  0.3333  0.1676  0.1133  0.0189
80  0.0000  0.0000  0.0000  0.0000  0.5333  0.3859  0.0000  0.0000  0.9400  0.0163  0.0200  0.0163  0.0000  0.0000  0.3000  0.3059  0.0000  0.0000  0.4267  0.1806  0.1267  0.0377
90  0.0000  0.0000  0.0000  0.0000  0.6000  0.4293  0.0067  0.0094  0.9600  0.0163  0.0133  0.0094  0.0000  0.0000  0.3533  0.3442  0.0000  0.0000  0.5800  0.1497  0.2200  0.0327
100  0.0000  0.0000  0.0000  0.0000  0.6333  0.4497  0.0133  0.0189  0.9867  0.0094  0.0067  0.0094  0.0000  0.0000  0.4200  0.3699  0.0000  0.0000  0.6667  0.1159  0.2867  0.0618
110  0.0000  0.0000  0.0000  0.0000  0.6600  0.4668  0.0133  0.0189  0.9933  0.0094  0.0000  0.0000  0.0000  0.0000  0.4667  0.3924  0.0000  0.0000  0.7533  0.0660  0.3667  0.0772
120  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0133  0.0189  0.9933  0.0094  0.0000  0.0000  0.0000  0.0000  0.5000  0.3929  0.0000  0.0000  0.7933  0.0249  0.4733  0.0998
130  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0133  0.0189  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.5333  0.4110  0.0000  0.0000  0.8267  0.0094  0.6067  0.1247
140  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0067  0.0094  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.5267  0.4100  0.0000  0.0000  0.7533  0.0618  0.6800  0.1306
150  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.5400  0.4121  0.0000  0.0000  0.7667  0.0838  0.8000  0.1071
160  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.5667  0.4190  0.0000  0.0000  0.8000  0.0864  0.8933  0.0822
170  0.0000  0.0000  0.0000  0.0000  0.6600  0.4668  0.0067  0.0094  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.5867  0.4262  0.0000  0.0000  0.8200  0.1071  0.9333  0.0499
180  0.0000  0.0000  0.0000  0.0000  0.6600  0.4668  0.0200  0.0283  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6000  0.4320  0.0000  0.0000  0.8533  0.1226  0.9733  0.0189
190  0.0000  0.0000  0.0000  0.0000  0.6600  0.4668  0.0333  0.0471  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6333  0.4497  0.0000  0.0000  0.9067  0.1050  1.0000  0.0000
200  0.0000  0.0000  0.0000  0.0000  0.6600  0.4668  0.0333  0.0471  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6467  0.4579  0.0000  0.0000  0.9267  0.1037  1.0000  0.0000
210  0.0000  0.0000  0.0000  0.0000  0.6600  0.4668  0.0400  0.0566  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6467  0.4579  0.0000  0.0000  0.9067  0.1320  1.0000  0.0000
220  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0400  0.0432  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6467  0.4579  0.0000  0.0000  0.9200  0.1131  1.0000  0.0000
230  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0333  0.0340  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6533  0.4623  0.0000  0.0000  0.9267  0.1037  1.0000  0.0000
240  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0200  0.0163  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6733  0.4620  0.0000  0.0000  0.9200  0.1131  1.0000  0.0000
250  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0200  0.0163  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6733  0.4620  0.0000  0.0000  0.9200  0.1131  1.0000  0.0000
260  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0133  0.0094  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6733  0.4620  0.0000  0.0000  0.9400  0.0849  1.0000  0.0000
270  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0067  0.0094  1.0000  0.0000  0.0000  0.0000  0.0067  0.0094  0.6733  0.4620  0.0000  0.0000  0.9267  0.1037  1.0000  0.0000
280  0.0000  0.0000  0.0000  0.0000  0.6667  0.4714  0.0067  0.0094  1.0000  0.0000  0.0000  0.0000  0.0067  0.0094  0.6733  0.4620  0.0000  0.0000  0.9267  0.1037  1.0000  0.0000
