step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
290  0.9600  0.0000  1.0000  0.0000  0.7533  0.3065  0.0133  0.0189  1.0000  0.0000  0.8867  0.0772  0.6600  0.4668  0.9667  0.0189  0.9933  0.0094  1.0000  0.0000
300  0.9600  0.0163  1.0000  0.0000  0.8267  0.2311  0.0200  0.0283  1.0000  0.0000  0.8533  0.0899  0.6667  0.4714  0.9667  0.0189  0.9933  0.0094  0.9933  0.0094
310  0.9733  0.0189  0.9733  0.0189  0.8667  0.1603  0.0200  0.0283  1.0000  0.0000  0.8800  0.0816  0.6667  0.4714  0.9667  0.0094  1.0000  0.0000  0.9933  0.0094
320  0.9400  0.0283  0.9733  0.0189  0.9000  0.0712  0.0133  0.0189  0.9933  0.0094  0.8667  0.0899  0.6667  0.4714  0.9600  0.0327  1.0000  0.0000  0.9933  0.0094
330  0.9267  0.0411  0.9533  0.0340  0.9533  0.0094  0.0133  0.0189  0.9867  0.0189  0.8467  0.0899  0.6667  0.4714  0.9533  0.0340  0.9933  0.0094  0.9933  0.0094
340  0.9333  0.0340  0.9533  0.0340  0.9400  0.0163  0.0067  0.0094  0.9867  0.0189  0.8600  0.0816  0.6667  0.4714  0.9667  0.0249  0.9933  0.0094  0.9933  0.0094
350  0.9333  0.0340  0.9533  0.0340  0.9067  0.0618  0.0067  0.0094  0.9867  0.0189  0.9000  0.0712  0.6667  0.4714  0.9667  0.0249  0.9933  0.0094  1.0000  0.0000
360  0.9333  0.0340  0.9800  0.0163  0.8800  0.0849  0.0067  0.0094  0.9800  0.0283  0.9067  0.0618  0.6667  0.4714  0.9733  0.0249  0.9933  0.0094  1.0000  0.0000
370  0.9667  0.0249  0.9800  0.0163  0.8467  0.1464  0.0067  0.0094  0.9867  0.0189  0.9333  0.0525  0.6667  0.4714  0.9867  0.0094  0.9933  0.0094  1.0000  0.0000
380  0.9867  0.0094  1.0000  0.0000  0.8200  0.1705  0.0067  0.0094  0.9867  0.0189  0.9667  0.0340  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
