step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
630  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
640  2.0000  0.0000  0.6667  0.9428  2.0000  0.0000  0.6667  0.9428  2.0000  0.0000  0.6667  0.9428  1.3333  0.9428  1.3333  0.9428  1.3333  0.9428  2.0000  0.0000
650  0.0000  0.0000  0.0000  0.0000  1.3333  0.9428  0.6667  0.9428  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  2.0000  0.0000
660  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  1.3333  0.9428  2.0000  0.0000
670  1.3333  0.9428  1.3333  0.9428  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  0.0000  0.0000  1.3333  0.9428  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000
680  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  2.0000  0.0000
690  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.6667  0.9428  1.3333  0.9428  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000
700  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  2.0000  0.0000
710  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.6667  0.9428  1.3333  0.9428  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000
720  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  2.0000  0.0000
730  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
740  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
750  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  2.0000  0.0000
760  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000
770  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
780  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
790  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
800  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
810  0.0000  0.0000  0.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  0.6667  0.9428
820  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
830  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  0.6667  0.9428  2.0000  0.0000
840  0.6667  0.9428  0.6667  0.9428  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000
850  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
860  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  1.3333  0.9428  1.3333  0.9428  2.0000  0.0000
870  0.0000  0.0000  0.0000  0.0000  1.3333  0.9428  0.6667  0.9428  2.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  2.0000  0.0000
880  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000
890  0.0000  0.0000  0.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  0.6667  0.9428  2.0000  0.0000
900  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
910  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  1.3333  0.9428  0.6667  0.9428  2.0000  0.0000
920  0.6667  0.9428  0.0000  0.0000  0.6667  0.9428  0.6667  0.9428  2.0000  0.0000  0.0000  0.0000  0.6667  0.9428  0.0000  0.0000  0.6667  0.9428  2.0000  0.0000
930  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
