step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std  gemma_3_12b_mean  gemma_3_12b_std
261  0.9467  0.0618  0.9667  0.0094  1.0000  0.0000  0.9600  0.0163  0.9933  0.0094  0.9400  0.0163  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
271  0.9600  0.0432  0.9667  0.0249  1.0000  0.0000  0.9600  0.0163  0.9933  0.0094  0.9600  0.0000  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
281  0.9600  0.0432  0.9667  0.0249  1.0000  0.0000  0.9600  0.0163  0.9933  0.0094  0.9200  0.0163  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
291  0.9800  0.0283  0.9733  0.0189  0.9933  0.0094  0.9600  0.0163  0.9933  0.0094  0.9133  0.0249  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
301  0.9933  0.0094  0.9800  0.0163  0.9933  0.0094  0.9600  0.0163  1.0000  0.0000  0.9200  0.0163  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
311  0.9933  0.0094  0.9867  0.0094  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  0.9133  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
321  0.9867  0.0094  0.9800  0.0163  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000  0.9000  0.0432  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
331  0.9867  0.0094  0.9800  0.0163  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000  0.9400  0.0327  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
341  0.9933  0.0094  0.9800  0.0163  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9600  0.0327  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
351  0.9733  0.0249  0.9733  0.0189  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9400  0.0283  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
361  0.9733  0.0249  0.9667  0.0249  1.0000  0.0000  0.9600  0.0163  1.0000  0.0000  0.9400  0.0327  0.9933  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
371  0.9800  0.0283  0.9800  0.0163  1.0000  0.0000  0.9600  0.0163  1.0000  0.0000  0.9600  0.0163  0.9667  0.0471  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
