step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
860  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
870  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
880  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
890  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
900  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
910  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
920  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
930  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
940  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
950  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
960  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
970  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
980  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
990  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
