step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
380  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
390  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
400  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
410  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
420  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
430  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
440  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
450  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
460  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
470  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
480  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
490  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
500  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
510  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  1.3333  0.9428  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
520  2.0000  0.0000  2.0000  0.0000  0.6667  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
530  0.6667  0.9428  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  0.6667  0.9428  1.3333  0.9428  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000
540  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
550  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
560  0.6667  0.9428  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
570  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
580  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
590  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
600  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
610  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
620  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
630  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
640  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  1.3333  0.9428  1.3333  0.9428  1.3333  0.9428  2.0000  0.0000  1.3333  0.9428
650  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
660  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
670  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
680  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
690  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
700  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  1.3333  0.9428  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
710  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
720  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
730  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
740  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
750  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
