step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
290  0.5000  0.0163  0.5400  0.0327  0.6267  0.0249  0.4067  0.0094  0.8667  0.0377  0.4667  0.0411  0.5600  0.0163  0.6600  0.0712  0.5733  0.0189  0.7800  0.0163
300  0.5133  0.0094  0.5533  0.0806  0.6533  0.0340  0.4467  0.0094  0.8667  0.0377  0.4933  0.0680  0.5933  0.0249  0.6800  0.0712  0.6067  0.0189  0.7467  0.0094
310  0.5733  0.0249  0.6000  0.1275  0.7200  0.0432  0.5600  0.0163  0.9067  0.0249  0.5600  0.0566  0.6733  0.0094  0.7533  0.0618  0.6933  0.0094  0.8267  0.0094
320  0.6000  0.0000  0.6200  0.0864  0.7400  0.0432  0.5667  0.0189  0.9267  0.0249  0.5533  0.0525  0.7067  0.0094  0.7800  0.0712  0.7133  0.0094  0.8667  0.0094
330  0.5133  0.0249  0.5667  0.0499  0.6667  0.0525  0.5267  0.0189  0.8733  0.0189  0.5067  0.0471  0.6267  0.0094  0.6933  0.0618  0.6400  0.0000  0.7800  0.0000
340  0.4400  0.0163  0.5133  0.0189  0.6067  0.0680  0.4267  0.0189  0.8400  0.0163  0.4200  0.0490  0.5400  0.0163  0.5867  0.0660  0.5600  0.0000  0.6733  0.0094
350  0.4400  0.0283  0.5533  0.0189  0.6200  0.0589  0.4600  0.0163  0.8267  0.0094  0.4467  0.0249  0.5600  0.0163  0.5933  0.0618  0.5800  0.0000  0.6800  0.0163
360  0.3800  0.0327  0.5000  0.0566  0.5933  0.0822  0.4000  0.0000  0.8267  0.0189  0.4000  0.0432  0.4933  0.0094  0.5267  0.0806  0.5000  0.0000  0.6200  0.0163
370  0.2867  0.0471  0.4467  0.0806  0.5267  0.1062  0.3267  0.0189  0.7667  0.0249  0.3267  0.0249  0.3800  0.0163  0.4333  0.0899  0.4000  0.0000  0.5400  0.0163
380  0.3933  0.0340  0.5200  0.0432  0.6200  0.1071  0.3800  0.0283  0.8267  0.0249  0.4000  0.0283  0.4800  0.0163  0.5267  0.0806  0.4933  0.0094  0.6400  0.0163
390  0.4333  0.0189  0.5467  0.0377  0.6533  0.0984  0.4133  0.0249  0.8267  0.0249  0.4400  0.0283  0.5000  0.0163  0.5800  0.0712  0.5267  0.0094  0.6667  0.0094
400  0.3867  0.0094  0.4933  0.0618  0.5933  0.1147  0.3600  0.0283  0.7667  0.0249  0.3867  0.0340  0.4200  0.0163  0.5267  0.0943  0.4467  0.0094  0.6000  0.0000
410  0.4867  0.0094  0.5667  0.0340  0.6400  0.0589  0.4000  0.0163  0.7533  0.0189  0.4600  0.0327  0.5267  0.0094  0.6267  0.0660  0.5667  0.0094  0.6800  0.0000
420  0.5333  0.0189  0.6067  0.0340  0.6467  0.0377  0.4067  0.0094  0.7600  0.0163  0.4800  0.0327  0.5800  0.0000  0.6333  0.0471  0.6067  0.0094  0.6933  0.0094
430  0.5267  0.0340  0.6000  0.0327  0.6600  0.0327  0.4400  0.0000  0.7333  0.0249  0.4867  0.0340  0.5800  0.0000  0.6267  0.0377  0.6067  0.0094  0.6533  0.0094
440  0.5333  0.0377  0.6200  0.0432  0.6733  0.0499  0.4533  0.0094  0.7600  0.0163  0.4800  0.0163  0.6000  0.0163  0.6267  0.0525  0.6067  0.0189  0.6933  0.0094
450  0.6133  0.0377  0.6800  0.0163  0.7333  0.0340  0.4467  0.0189  0.8333  0.0249  0.5133  0.0411  0.6533  0.0249  0.6867  0.0249  0.6800  0.0163  0.7600  0.0000
460  0.5800  0.0327  0.6400  0.0163  0.6867  0.0411  0.4600  0.0327  0.8133  0.0249  0.4867  0.0499  0.6200  0.0163  0.6400  0.0283  0.6333  0.0249  0.7000  0.0000
470  0.5867  0.0249  0.6133  0.0249  0.6933  0.0499  0.4667  0.0340  0.8467  0.0189  0.5067  0.0340  0.6067  0.0249  0.6733  0.0471  0.6333  0.0249  0.7200  0.0163
480  0.6000  0.0327  0.6067  0.0249  0.7067  0.0573  0.4400  0.0163  0.8667  0.0189  0.4600  0.0327  0.5733  0.0525  0.6733  0.0618  0.6333  0.0094  0.7400  0.0163
490  0.5867  0.0094  0.6067  0.0249  0.6933  0.0499  0.4667  0.0189  0.8867  0.0189  0.4667  0.0340  0.5800  0.0432  0.6800  0.0589  0.6333  0.0094  0.7400  0.0163
500  0.6400  0.0000  0.6533  0.0189  0.7533  0.0499  0.5267  0.0249  0.9133  0.0094  0.5133  0.0189  0.6333  0.0525  0.7400  0.0589  0.7000  0.0000  0.7867  0.0094
510  0.6733  0.0189  0.6933  0.0094  0.8067  0.0573  0.5600  0.0283  0.9267  0.0189  0.5133  0.0094  0.6600  0.0566  0.7667  0.0525  0.7133  0.0094  0.8267  0.0094
520  0.6467  0.0249  0.6933  0.0340  0.7933  0.0573  0.5600  0.0327  0.9200  0.0283  0.4933  0.0249  0.6467  0.0618  0.7533  0.0618  0.6867  0.0094  0.8133  0.0094
530  0.5733  0.0340  0.6533  0.0618  0.7200  0.0864  0.5133  0.0094  0.9067  0.0189  0.4533  0.0249  0.5800  0.0283  0.7067  0.0943  0.6000  0.0000  0.7800  0.0163
540  0.5933  0.0340  0.6400  0.0327  0.7267  0.0957  0.5133  0.0411  0.9067  0.0189  0.4600  0.0283  0.5733  0.0377  0.7133  0.1037  0.5933  0.0094  0.8000  0.0163
550  0.5667  0.0189  0.6267  0.0411  0.7133  0.1050  0.5200  0.0653  0.9067  0.0189  0.4133  0.0249  0.5800  0.0163  0.7000  0.1131  0.5667  0.0094  0.8067  0.0094
560  0.5400  0.0283  0.6133  0.0094  0.7067  0.1087  0.4933  0.0736  0.9333  0.0094  0.4333  0.0499  0.5800  0.0163  0.7067  0.1226  0.5667  0.0249  0.8267  0.0094
